
2079460006;
1;1;02079460006
2;1;02079460006
3;1;02079460006
4;1;02079460006
5;1;02079460006
6;1;02079460006
7;1;02079460006
8;1;02079460006
9;1;02079460006
10;1;02079460006
11;1;02079460006
12;1;02079460006
13;1;02079460006
14;1;02079460006
15;1;02079460006
16;1;02079460006

2079460007;
1;1;02079460007
2;1;02079460007
3;1;02079460007
4;1;02079460007
5;1;02079460007
6;1;02079460007
7;1;02079460007
8;1;02079460007
9;1;02079460007
10;1;02079460007
11;1;02079460007
12;1;02079460007
13;1;02079460007
14;1;02079460007
15;1;02079460007
16;1;02079460007

2079460008;
1;1;02079460008
2;1;02079460008
3;1;02079460008
4;1;02079460008
5;1;02079460008
6;1;02079460008
7;1;02079460008
8;1;02079460008
9;1;02079460008
10;1;02079460008
11;1;02079460008
12;1;02079460008
13;1;02079460008
14;1;02079460008
15;1;02079460008
16;1;02079460008

2079460009;
1;1;02079460009
2;1;02079460009
3;1;02079460009
4;1;02079460009
5;1;02079460009
6;1;02079460009
7;1;02079460009
8;1;02079460009
9;1;02079460009
10;1;02079460009
11;1;02079460009
12;1;02079460009
13;1;02079460009
14;1;02079460009
15;1;02079460009
16;1;02079460009

2079460010;
1;1;02079460010
2;1;02079460010
3;1;02079460010
4;1;02079460010
5;1;02079460010
6;1;02079460010
7;1;02079460010
8;1;02079460010
9;1;02079460010
10;1;02079460010
11;1;02079460010
12;1;02079460010
13;1;02079460010
14;1;02079460010
15;1;02079460010
16;1;02079460010

2079460011;
1;1;02079460011
2;1;02079460011
3;1;02079460011
4;1;02079460011
5;1;02079460011
6;1;02079460011
7;1;02079460011
8;1;02079460011
9;1;02079460011
10;1;02079460011
11;1;02079460011
12;1;02079460011
13;1;02079460011
14;1;02079460011
15;1;02079460011
16;1;02079460011

2079460012;
1;1;02079460012
2;1;02079460012
3;1;02079460012
4;1;02079460012
5;1;02079460012
6;1;02079460012
7;1;02079460012
8;1;02079460012
9;1;02079460012
10;1;02079460012
11;1;02079460012
12;1;02079460012
13;1;02079460012
14;1;02079460012
15;1;02079460012
16;1;02079460012

2079460013;
1;1;02079460013
2;1;02079460013
3;1;02079460013
4;1;02079460013
5;1;02079460013
6;1;02079460013
7;1;02079460013
8;1;02079460013
9;1;02079460013
10;1;02079460013
11;1;02079460013
12;1;02079460013
13;1;02079460013
14;1;02079460013
15;1;02079460013
16;1;02079460013

2079460014;
1;1;02079460014
2;1;02079460014
3;1;02079460014
4;1;02079460014
5;1;02079460014
6;1;02079460014
7;1;02079460014
8;1;02079460014
9;1;02079460014
10;1;02079460014
11;1;02079460014
12;1;02079460014
13;1;02079460014
14;1;02079460014
15;1;02079460014
16;1;02079460014

2079460015;
1;1;02079460015
2;1;02079460015
3;1;02079460015
4;1;02079460015
5;1;02079460015
6;1;02079460015
7;1;02079460015
8;1;02079460015
9;1;02079460015
10;1;02079460015
11;1;02079460015
12;1;02079460015
13;1;02079460015
14;1;02079460015
15;1;02079460015
16;1;02079460015

(020)79460016;
1;1;(020)79460016
2;1;(020)79460016
3;1;(020)79460016
4;1;(020)79460016
5;1;(020)79460016
6;1;(020)79460016
7;1;(020)79460016
8;1;(020)79460016
9;1;(020)79460016
10;1;(020)79460016
11;1;(020)79460016
12;1;(020)79460016
13;1;(020)79460016
14;1;(020)79460016
15;1;(020)79460016
16;1;(020)79460016

2079460017;
1;1;02079460017
2;1;02079460017
3;1;02079460017
4;1;02079460017
5;1;02079460017
6;1;02079460017
7;1;02079460017
8;1;02079460017
9;1;02079460017
10;1;02079460017
11;1;02079460017
12;1;02079460017
13;1;02079460017
14;1;02079460017
15;1;02079460017
16;1;02079460017

2079460018;
1;1;02079460018
2;1;02079460018
3;1;02079460018
4;1;02079460018
5;1;02079460018
6;1;02079460018
7;1;02079460018
8;1;02079460018
9;1;02079460018
10;1;02079460018
11;1;02079460018
12;1;02079460018
13;1;02079460018
14;1;02079460018
15;1;02079460018
16;1;02079460018

2079460019;
1;1;02079460019
2;1;02079460019
3;1;02079460019
4;1;02079460019
5;1;02079460019
6;1;02079460019
7;1;02079460019
8;1;02079460019
9;1;02079460019
10;1;02079460019
11;1;02079460019
12;1;02079460019
13;1;02079460019
14;1;02079460019
15;1;02079460019
16;1;02079460019

2079460020;
1;1;02079460020
2;1;02079460020
3;1;02079460020
4;1;02079460020
5;1;02079460020
6;1;02079460020
7;1;02079460020
8;1;02079460020
9;1;02079460020
10;1;02079460020
11;1;02079460020
12;1;02079460020
13;1;02079460020
14;1;02079460020
15;1;02079460020
16;1;02079460020

2079460021;
1;1;02079460021
2;1;02079460021
3;1;02079460021
4;1;02079460021
5;1;02079460021
6;1;02079460021
7;1;02079460021
8;1;02079460021
9;1;02079460021
10;1;02079460021
11;1;02079460021
12;1;02079460021
13;1;02079460021
14;1;02079460021
15;1;02079460021
16;1;02079460021

2079460022;
1;1;02079460022
2;1;02079460022
3;1;02079460022
4;1;02079460022
5;1;02079460022
6;1;02079460022
7;1;02079460022
8;1;02079460022
9;1;02079460022
10;1;02079460022
11;1;02079460022
12;1;02079460022
13;1;02079460022
14;1;02079460022
15;1;02079460022
16;1;02079460022

2079460023;
1;1;02079460023
2;1;02079460023
3;1;02079460023
4;1;02079460023
5;1;02079460023
6;1;02079460023
7;1;02079460023
8;1;02079460023
9;1;02079460023
10;1;02079460023
11;1;02079460023
12;1;02079460023
13;1;02079460023
14;1;02079460023
15;1;02079460023
16;1;02079460023

2079460024;
1;1;02079460024
2;1;02079460024
3;1;02079460024
4;1;02079460024
5;1;02079460024
6;1;02079460024
7;1;02079460024
8;1;02079460024
9;1;02079460024
10;1;02079460024
11;1;02079460024
12;1;02079460024
13;1;02079460024
14;1;02079460024
15;1;02079460024
16;1;02079460024

2079460025;
1;1;02079460025
2;1;02079460025
3;1;02079460025
4;1;02079460025
5;1;02079460025
6;1;02079460025
7;1;02079460025
